"ID_PEDIDO";"PEDDTBAIXA";"CLICODIGO";"GCLCODIGO";"SETOR";"PROCODIGO";"TRANSITIONS";"PDPDESCRICAO";"PEDAUTORIZOU";"FISCODIGO";"QTD";"VRVENDA"
13672617;2023-10-16;1281;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"SILVANA";"6.101  ";2;653,66
13673030;2023-10-18;4122;234;"SETOR 4 - JOINVILLE - NORTE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"LEILA";"5.101  ";2;709
13673204;2023-10-18;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"JULIANA CARDOSO ";"5.101  ";2;554,07
13673221;2023-10-17;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"JULIANA CARDOSO ";"5.101  ";2;236,01
13673439;2023-10-16;198;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"BERNARDO";"6.101  ";2;604,2
13673489;2023-10-16;198;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2366        ";1;"VARILUX XR DESIGN ORMA TGEN8 CINZA";"BERNARDO";"6.101  ";2;842,08
13674149;2023-10-16;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2370        ";1;"VARILUX XR DESIGN AIRWEAR TGEN8 CINZA";"INDIANARA BORG";"5.101  ";2;782,56
13674180;2023-10-16;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2370        ";1;"VARILUX XR DESIGN AIRWEAR TGEN8 CINZA";"INDIANARA BORG";"5.101  ";2;239,93
13675472;2023-10-17;213;;"SETOR 2 - CRICIUMA - SUL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"REGINALDO";"5.101  ";2;397,5
13676639;2023-10-13;291;199;"SETOR 4 - JOINVILLE - NORTE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"CAMILA";"5.101  ";2;638,1
13676650;2023-10-13;291;199;"SETOR 4 - JOINVILLE - NORTE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"CAMILA";"5.101  ";2;160,84
13677496;2023-10-18;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2370        ";1;"VARILUX XR DESIGN AIRWEAR TGEN8 CINZA";"LUANA";"5.101  ";2;782,56
13677510;2023-10-18;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2370        ";1;"VARILUX XR DESIGN AIRWEAR TGEN8 CINZA";"LUANA";"5.101  ";2;239,93
13677527;2023-10-18;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2361        ";0;"VARILUX XR DESIGN ORMA XPERIO CINZA";"LUANA";"5.102  ";2;694,96
13677532;2023-10-18;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2361        ";0;"VARILUX XR DESIGN ORMA XPERIO CINZA";"LUANA";"5.102  ";2;238,95
13677546;2023-10-18;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"LUANA";"5.101  ";2;486,91
13677555;2023-10-18;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2361        ";0;"VARILUX XR DESIGN ORMA XPERIO CINZA";"LUANA";"5.102  ";2;238,95
13677666;2023-10-19;213;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";1;"VARILUX XR DESIGN ORMA TGEN8 CINZA";"CELSO";"5.101  ";2;1021
