"";"ID_PEDIDO";"PEDDTBAIXA";"CLICODIGO";"GCLCODIGO";"SETOR";"PROCODIGO";"PDPDESCRICAO";"PEDAUTORIZOU";"QTD";"VRVENDA";"BONUS"
"29";13342528;2023-05-17;129;148;"SETOR 5 - BLUMENAU - VALE";"LD1278        ";"VARILUX COMFORT MAX ORM TGEN8 CIN";"BRUNA";2;733,2;70
"30";13343266;2023-05-22;654;195;"SETOR 2 - CRICIUMA - SUL";"LP0284        ";"VARILUX COMFORT ORMA TGEN8 CINZA";"RAFAEL LAURENTINO";2;625,04;60
"31";13346076;2023-05-18;3338;NA;"SETOR 7 - FLORIANOPOLIS  LOJAS";"LD0508        ";"VARILUX X DESIGN FIT EYE ORMA TGEN8 MAR";"3338 ";2;1026,27;100
"32";13347468;2023-05-17;290;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD1647        ";"KODAK UNIQUE UHD POLY TGEN8 CINZA";"GERVASIO";2;569,97;50
"33";13348051;2023-05-19;1949;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LD1285        ";"VARILUX COMFORT MAX AIR TGEN8";"DEBORA";2;953,4;70
"34";13348726;2023-05-17;453;185;"SETOR 3 - CHAPECO - OESTE - RS";"LD1649        ";"KODAK NETWORK UHD 1.50 TGEN8 CINZA";"GIOVANA";2;591,28;50
"35";13349379;2023-05-18;560;NA;"SETOR 2 - CRICIUMA - SUL";"LD1285        ";"VARILUX COMFORT MAX AIR TGEN8";"DIENIFFER";2;953,4;70
"36";13349811;2023-05-18;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1643        ";"KODAK UNIQUE UHD 1.50 TGEN8 CINZA";"BERNARDO";2;453,15;50
"37";13350139;2023-05-23;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD0782        ";"VARILUX LIBERTY 360 3.0 AIR TGEN8 CINZA BLUE UV";"BERNARDO";2;662,94;70
"38";13351212;2023-05-18;453;185;"SETOR 3 - CHAPECO - OESTE - RS";"LD1634        ";"KODAK PRECISE UHD 1.50 TGEN8 CINZA";"GIOVANA";2;422,97;50
"39";13351747;2023-05-19;475;NA;"SETOR 5 - BLUMENAU - VALE";"LD0085        ";"VARILUX E DESIGN ORMA TGEN8 CINZA";"NELSON";2;1048,04;100
"40";13352482;2023-05-22;129;148;"SETOR 5 - BLUMENAU - VALE";"LD1278        ";"VARILUX COMFORT MAX ORM TGEN8 CIN";"STEFANIE";2;733,2;70
"41";13352582;2023-05-22;654;195;"SETOR 2 - CRICIUMA - SUL";"LD1278        ";"VARILUX COMFORT MAX ORM TGEN8 CIN";"KATIANE";2;794,3;70
"42";13352820;2023-05-18;3827;148;"SETOR 5 - BLUMENAU - VALE";"LD1535        ";"ESSILOR EYEZEN START AIR TGEN8 SCL AME";"3827";2;854,44;50
